Distribution Channel,How many units did you take during the winter quarter?,"
Class #1","
Class #2","
Class #3","
Class #4","
Class #5",winter.GPA,cumulative GPA? ,GPA.dif,Have you ever played the video game Fortnite?,"
 ""Solo""? - Hours","

 ""Solo""? - Minutes"," ""Solo"" wins "," ""Duo""? - Hours"," ""Duo""? - Minutes"," ""Duo"" wins "," ""Squad""? - Hours"," ""Squad""? - Minutes"," ""Squad"" wins ",total.hours,Total Minutes,total.time,type of degree,What year are you?,major or field of study?
anonymous,14,3.3,3.7,,,,3.5,3.3,0.2,1,40,,,20,,,20,,,80,0,80,1,3,Sts
anonymous,12,3,3.3,2.7,,,3,2.89,0.11,1,2,,0,2,,0,3,,2,7,0,7,1,1,Pre med
anonymous,20,4,2.7,3,4,4,3.54,2.86,0.68,1,3,47,0,1,20,0,4,15,2,8,82,9.366666667,1,4,STS
anonymous,18,3.7,4,3,4.3,,3.75,3.36,0.39,1,9,45,8,6,21,7,9,14,12,24,80,25.33333333,2,,Public Policy
anonymous,14,4,3.7,3,,,3.566666667,3.64,-0.073333333,1,11,40,3,20,22,22,60,7,53,91,69,92.15,1,3,STS
anonymous,15,3,3,4,,,3.333333333,3.3,0.033333333,1,5,,0,4,,2,2,,3,11,0,11,1,2,Ms&e 
anonymous,18,4,4,3,3.3,,3.575,3.3,0.275,1,10,,1,0,,0,2,,0,12,0,12,1,3,Public Policy
anonymous,15,3.7,3.7,,,,3.7,3.3,0.4,1,50,,1,24,,2,9,,1,83,0,83,1,1,Economics
anonymous,17,3.7,4,3.3,4,,3.75,3.381,0.369,1,0,24,1,2,46,0,1,55,1,3,125,5.083333333,1,4,Management Science and Engineering
anonymous,14,4,4,3.7,,,3.9,3.6,0.3,1,44,59,21,47,37,22,19,50,27,110,146,112.4333333,1,3,cs
anonymous,14,3.7,2.7,2.7,,,3.033333333,2.9,0.133333333,1,212,22,53,23,12,14,56,19,23,291,53,291.8833333,1,2,Comm
anonymous,16,3,3,3,,,3,3.17,-0.17,1,2,,0,0,,0,0,20,1,2,20,2.333333333,1,4,STS
anonymous,13,4.3,3,3.3,,,3.533333333,3.6,-0.066666667,1,9,1,3,22,22,13,25,5,20,56,28,56.46666667,1,3,mechanical engineering
anonymous,13,3.7,,,,,3.7,3.7,0,1,8,,0,4,,0,1,,0,13,0,13,1,4,Psychology 
anonymous,18,3.7,3.3,3,4,,3.5,3.35,0.15,1,,45,0,0,0,0,0,20,0,0,65,1.083333333,1,3,Mechanical engineering
anonymous,17,4,4,3.7,3,,3.675,3.6,0.075,1,12,43,2,14,4,8,27,21,24,53,68,54.13333333,1,1,STS
anonymous,13,4,3.3,,,,3.65,3.03,0.62,1,12,42,2,13,51,2,22,5,13,47,98,48.63333333,1,2,Political Science 
anonymous,18,4.3,4.3,4,,,4.2,3.45,0.75,1,barely any,,0,none,,0,none,,0,0,0,0,1,4,Psychology
anonymous,15,4,4,3,,,3.666666667,3.5,0.166666667,1,159,39,68,15,13,5,5,59,0,179,111,180.85,1,4,Computer Science
anonymous,12,4,4,3.3,,,3.766666667,3.2,0.566666667,1,20,48,29,12,0,17,22,0,67,54,48,54.8,2,,Communication